time_s,frame_index,side,valid_mask,x,y,z,world_x,world_y,world_z,raw_speed,smoothed_speed,motion_source,motion_weight,boundary_x,boundary_y,interpolated_for_motion
10.5,525,left,False,,,,,,,,,,0.0,,,False
10.5,525,right,False,,,,,,,,,,0.0,,,False
10.64,532,left,False,,,,,,,,,,0.0,,,False
10.64,532,right,True,0.4527924954891205,0.9021682739257812,1.8180087124619604e-07,-0.0749606266617775,0.037374965846538544,0.02292426861822605,,,,0.0,0.522088,0.823097,False
10.76,538,left,False,,,,,,,,,,0.0,,,False
10.76,538,right,True,0.4754605293273926,0.8737022876739502,-3.3803282395439282e-09,-0.07199918478727341,0.043152984231710434,0.004667485132813454,0.2228612,0.1919275,observed,1.0,0.547614,0.790613,False
10.88,544,left,False,,,,,,,,,,0.0,,,False
10.88,544,right,True,0.46491485834121704,0.8638899922370911,-1.7651697703513491e-07,-0.04880908876657486,0.03881291300058365,-0.009770868346095085,0.1799292,0.1859164,observed,1.0,0.521124,0.778416,False
11.0,550,left,False,,,,,,,,,,0.0,,,False
11.0,550,right,True,0.45568910241127014,0.8299747109413147,-7.787924261037915e-08,-0.05119479075074196,0.05181474611163139,-0.036886271089315414,0.1018869,0.1816529,observed,1.0,0.503526,0.73753,False
11.14,557,left,True,0.45485174655914307,0.8292268514633179,-1.2635156565465877e-07,-0.05936771258711815,0.030772138386964798,-0.03980400785803795,,,,0.0,0.510718,0.756302,False
11.14,557,right,True,0.46257227659225464,0.8215293884277344,-9.283500190804261e-08,-0.03853679448366165,0.02556135505437851,-0.01603730395436287,0.1810641,0.205156,observed,1.0,0.516157,0.746972,False
11.26,563,left,False,,,,,,,,,,0.0,,,False
11.26,563,right,True,0.47542017698287964,0.850695788860321,-6.945452213358294e-08,-0.06503552943468094,0.036558620631694794,-0.0738997608423233,0.251696,0.2334776,observed,1.0,0.533375,0.783375,False
11.38,569,left,False,,,,,,,,,,0.0,,,False
11.38,569,right,True,0.4867612421512604,0.8221672773361206,3.665529035856707e-08,-0.05948125943541527,0.0457097589969635,-0.03452284634113312,0.2623213,0.2484155,observed,1.0,0.541903,0.736209,False
11.5,575,left,False,,,,,,,,,,0.0,,,False
11.5,575,right,False,,,,,,,,,,0.0,,,False
11.64,582,left,False,,,,,,,,,,0.0,,,False
11.64,582,right,False,,,,,,,,,,0.0,,,False
11.76,588,left,False,,,,,,,,,,0.0,,,False
11.76,588,right,False,,,,,,,,,,0.0,,,False
11.88,594,left,False,,,,,,,,,,0.0,,,False
11.88,594,right,False,,,,,,,,,,0.0,,,False
12.0,600,left,False,,,,,,,,,,0.0,,,False
12.0,600,right,False,,,,,,,,,,0.0,,,False
12.14,607,left,False,,,,,,,,,,0.0,,,False
12.14,607,right,False,,,,,,,,,,0.0,,,False
12.26,613,left,False,,,,,,,,,,0.0,,,False
12.26,613,right,False,,,,,,,,,,0.0,,,False
12.38,619,left,False,,,,,,,,,,0.0,,,False
12.38,619,right,False,,,,,,,,,,0.0,,,False
